TRADE_DATE,HOUR,MARKET,RES_TYPE,TYPE,VALUE
2023-01-05,1,RTD,LESR,SOC,6501.229166666667
2023-01-05,2,RTD,LESR,SOC,7210.964416666667
2023-01-05,3,RTD,LESR,SOC,8179.327416666667
2023-01-05,4,RTD,LESR,SOC,8979.728166666666
2023-01-05,5,RTD,LESR,SOC,9434.7025
2023-01-05,6,RTD,LESR,SOC,9496.350416666666
2023-01-05,7,RTD,LESR,SOC,8682.606916666666
2023-01-05,8,RTD,LESR,SOC,7779.039250000001
2023-01-05,9,RTD,LESR,SOC,7486.513583333333
2023-01-05,10,RTD,LESR,SOC,7282.471416666667
2023-01-05,11,RTD,LESR,SOC,7636.8715
2023-01-05,12,RTD,LESR,SOC,8694.835916666667
2023-01-05,13,RTD,LESR,SOC,9706.076
2023-01-05,14,RTD,LESR,SOC,11011.374333333333
2023-01-05,15,RTD,LESR,SOC,11867.556916666666
2023-01-05,16,RTD,LESR,SOC,12319.028916666668
2023-01-05,17,RTD,LESR,SOC,12165.809083333334
2023-01-05,18,RTD,LESR,SOC,11281.045250000001
2023-01-05,19,RTD,LESR,SOC,10270.241833333333
2023-01-05,20,RTD,LESR,SOC,9382.899083333334
2023-01-05,21,RTD,LESR,SOC,8816.82475
2023-01-05,22,RTD,LESR,SOC,8407.08425
2023-01-05,23,RTD,LESR,SOC,8405.437666666667
2023-01-05,24,RTD,LESR,SOC,8508.956916666668
2023-01-06,1,RTD,LESR,SOC,8705.279833333334
2023-01-06,2,RTD,LESR,SOC,9000.252333333334
2023-01-06,3,RTD,LESR,SOC,9397.466666666667
2023-01-06,4,RTD,LESR,SOC,9851.040666666666
2023-01-06,5,RTD,LESR,SOC,9774.245916666667
2023-01-06,6,RTD,LESR,SOC,8814.881833333333
2023-01-06,7,RTD,LESR,SOC,7367.61675
2023-01-06,8,RTD,LESR,SOC,5512.263
2023-01-06,9,RTD,LESR,SOC,4995.901
2023-01-06,10,RTD,LESR,SOC,5976.175749999999
2023-01-06,11,RTD,LESR,SOC,7434.327416666667
2023-01-06,12,RTD,LESR,SOC,9132.084416666667
2023-01-06,13,RTD,LESR,SOC,11067.577333333335
2023-01-06,14,RTD,LESR,SOC,12577.195166666666
2023-01-06,15,RTD,LESR,SOC,13548.000416666668
2023-01-06,16,RTD,LESR,SOC,14125.2975
2023-01-06,17,RTD,LESR,SOC,13339.191916666668
2023-01-06,18,RTD,LESR,SOC,11735.848250000001
2023-01-06,19,RTD,LESR,SOC,10124.770666666665
2023-01-06,20,RTD,LESR,SOC,8700.051166666666
2023-01-06,21,RTD,LESR,SOC,7605.468083333333
2023-01-06,22,RTD,LESR,SOC,6930.810750000001
2023-01-06,23,RTD,LESR,SOC,6595.0945
2023-01-06,24,RTD,LESR,SOC,6591.689916666666
2023-01-07,1,RTD,LESR,SOC,6678.23775
2023-01-07,2,RTD,LESR,SOC,6277.1375
2023-01-07,3,RTD,LESR,SOC,6069.410833333334
2023-01-07,4,RTD,LESR,SOC,6174.989416666667
2023-01-07,5,RTD,LESR,SOC,6219.733749999999
2023-01-07,6,RTD,LESR,SOC,6290.660666666667
2023-01-07,7,RTD,LESR,SOC,6283.66225
2023-01-07,8,RTD,LESR,SOC,6698.297583333333
2023-01-07,9,RTD,LESR,SOC,7538.799749999999
2023-01-07,10,RTD,LESR,SOC,8210.943583333334
2023-01-07,11,RTD,LESR,SOC,9191.386916666666
2023-01-07,12,RTD,LESR,SOC,10429.24475
