,percent_wind_gen,percent_solar_gen,exports,total_load,total_lmp,battery_en,battery_soc,season_summer,season_spring,season_winter,total_curtailment
0,0.26587414805578885,0.0,-69960.35999999999,21302.162944,114.6878703135081,41.976,6524.477166666667,0,0,1,0.0
1,0.3031464958935935,0.0,-67462.57333333333,20803.750237,108.75220952558625,-5.863,6460.8964166666665,0,0,1,0.0
2,0.32768825932765244,0.0,-65642.69333333334,20300.078086,102.77617352087552,-54.224,6465.033666666666,0,0,1,0.0
3,0.32643304572118553,0.0,-64974.10666666665,19914.921017,106.67647518828005,19.609,6460.2165,0,0,1,0.0
4,0.29293682267207094,0.0,-65427.98666666668,19975.842246,110.35879574648705,8.992,6428.138083333334,0,0,1,0.0
5,0.27992673051620853,0.0,-61790.45333333334,20273.688572,112.34833281763689,581.266,6564.830416666667,0,0,1,0.0
6,0.2745561696776091,0.0,-61654.07999999999,20534.584181,113.75683168018388,1112.432,6379.488416666667,0,0,1,0.0
7,0.25485676139977387,0.03403143044552686,-51741.0,20510.883304,103.78876649118048,1043.191,5441.492833333333,0,0,1,0.0
8,0.2400818249477425,0.21634117859948837,-38545.63999999999,20179.969086,112.74066930062821,6.937,5108.654416666667,0,0,1,0.0
9,0.22406392291636035,0.32401935667087667,-20055.786666666667,19656.011666,103.00378449461988,-791.843,5420.17125,0,0,1,2.9250001
10,0.2050812026657419,0.3616923950604734,-6209.2000000000035,19470.0428651999,93.73783768542094,-1547.338,6480.063916666666,0,0,1,3.26000023
11,0.2096279616521861,0.35795700979414513,-1844.0533333333326,19457.4244273,79.89449086398702,-1490.296,7935.73475,0,0,1,9.97414138742329
12,0.2333306306746739,0.3288133017266712,-5267.786666666666,19387.6318837,67.76553076071423,-1306.353,9182.624083333334,0,0,1,14.4072117376509
13,0.26150347283870834,0.30306306313982473,-3045.44,19667.8608559,80.04007992475505,-1038.788,10485.979416666669,0,0,1,307.98106507598527
14,0.26668630860460035,0.2693677841065631,-9269.906666666666,19714.6577584999,83.65371607560552,-807.722,11323.991666666669,0,0,1,7.0200084600004
15,0.26056528059176914,0.19067198683141193,-21131.90666666668,20678.833605,100.49784846119364,-8.942,11918.287666666663,0,0,1,0.0
16,0.23799669085996258,0.0304270343573055,-44406.90666666666,22265.240742,119.65874605575827,2130.068,11697.82175,0,0,1,0.0
17,0.21296792205806567,0.0,-50147.29333333334,24651.32651,156.0143575652565,1425.634,10149.732,0,0,1,0.0
18,0.2286280273148089,0.0,-51709.86666666667,25032.325151,145.79031776392486,1371.147,8695.889333333334,0,0,1,0.0
19,0.23764434627579054,0.0,-57988.81333333333,24982.908097,135.1673756276094,890.16,7584.316333333333,0,0,1,0.0
20,0.23251291135199256,0.0,-61878.13333333334,24511.189802,135.12379698770854,626.254,6730.789833333333,0,0,1,0.0
21,0.22080924695309526,0.0,-67171.03999999998,24156.39228,134.66011450237417,676.152,5956.935666666667,0,0,1,0.0
22,0.22007161174491202,0.0,-64110.0,23218.004048,146.49098209648758,351.355,5196.361833333333,0,0,1,0.0
23,0.21974697231363963,0.0,-62573.30666666668,21892.007009,120.895179651866,234.095,4733.390916666666,0,0,1,0.0
24,0.1836434686864039,0.0,-58500.59999999998,21491.973315,129.14143691314462,786.91,4138.566583333333,0,0,1,0.0
25,0.1610625394850527,0.0,-59989.38666666667,20777.423467,129.98647841122738,765.972,3330.2028333333333,0,0,1,0.0
26,0.13442038198792355,0.0,-59549.4732507833,20325.20802,132.1182711300756,409.581,2524.440333333333,0,0,1,0.0
27,0.12060846826983201,0.0,-59116.840000000004,20330.4835089999,150.0093357231619,589.009,1991.06275,0,0,1,0.0
28,0.10562460801747667,0.0,-60121.4,20513.842039,174.78749114487516,578.905,1663.5891666666666,0,0,1,0.0
29,0.10508415922935456,0.0,-53320.62666666666,21457.607004,187.0581764146648,245.702,1518.086,0,0,1,0.0
30,0.08763821483974436,0.0005755563535074073,-57909.17333333334,22593.99449,218.26833624525779,328.389,1506.2225,0,0,1,0.0
31,0.07504600035051935,0.06334631281361465,-45880.34666666668,23029.7761809999,234.46877527379553,154.196,1307.1881666666666,0,0,1,137.6499958
32,0.08127209423572802,0.2475383991430222,-27095.74666666665,23119.441497,148.68761022282038,-545.502,1474.6038333333331,0,0,1,563.50001146
33,0.11118398464725178,0.35308060363346405,-29770.71999999999,23577.227865,135.07943067094175,-1135.211,2161.9525,0,0,1,283.24999236
34,0.10610958669403057,0.343951936306504,-33771.70666666666,23699.132023,163.4272214594731,-607.963,2698.972333333333,0,0,1,0.0
35,0.11957314104770411,0.3439755933318229,-38377.61333333333,24503.535546,161.22511565053796,-885.294,3407.925833333333,0,0,1,5.90000153
36,0.13552075156857385,0.3003847690913893,-47273.34666666665,24653.087097,160.16957780537405,-466.895,4188.973333333333,0,0,1,53.83999634
37,0.15094752353562152,0.2582298119422394,-62125.92,25394.7683879999,182.34753500422997,127.501,4289.887916666667,0,0,1,0.0
38,0.15496460827702555,0.16776010312674258,-62596.61333333334,26048.139699,199.5731626614176,156.277,4165.3575,0,0,1,0.0
39,0.16142182327969962,0.06737182441762976,-54337.81333333334,26127.194778,230.16210576615785,411.301,4216.384083333333,0,0,1,0.0
40,0.14589304466899145,0.004898442677834177,-58509.66666666667,27180.2013119999,243.76743238213905,280.641,4313.1199166666665,0,0,1,9.791512469999999
41,0.14824894930673257,0.0,-58437.52000000002,28426.103622,230.57154126876935,816.825,4102.127,0,0,1,0.0
42,0.14516331746430808,0.0,-64165.76,28249.130025,228.97863056799991,304.907,3285.26325,0,0,1,0.0
